[Compound	Concentration	Rep1	Rep2	Rep3	Time	Cell_line
 Compound I	Control	1.796	1.354	1.354	24	NG-97
 Compound I	0.10	1.101	0.862	0.991	24	NG-97
 Compound I	3	0.77	0.487	0.748	24	NG-97
 Compound I	15	0.797	0.476	0.9	24	NG-97
 Compound I	20	0.807	0.751	0.874	24	NG-97
 Compound I	30	0.854	0.1028	0.964	24	NG-97
 Compound I	60	0.108	0.339	0.628	24	NG-97
 Compound I	Control	0.917	0.917	0.991	48	NG-97
 Compound I	0.10	0.912	0.667	0.769	48	NG-97
 Compound I	3	0.423	0.333	0.419	48	NG-97
 Compound I	15	0.613	0.308	0.48	48	NG-97
 Compound I	20	0.1043	0.391	0.429	48	NG-97
 Compound I	30	0.465	0.359	0.426	48	NG-97
 Compound I	60	0.461	0.295	0.317	48	NG-97
 Compound I	Control	1.08	1.493	1.143	72	NG-97
 Compound I	0.10	0.694	0.334	0.203	72	NG-97
 Compound I	3	0.815	0.1009	0.487	72	NG-97
 Compound I	15	0.726	0.493	0.331	72	NG-97
 Compound I	20	0.852	0.423	0.416	72	NG-97
 Compound I	30	0.474	0.379	0.343	72	NG-97
 Compound I	60	0.384	0.316	0.346	72	NG-97
 Compound II	Control	0.604	0.1083	0.1083	24	NG-97
 Compound II	0.10	0.897	0.1086	0.76	24	NG-97
 Compound II	3	0.1048	0.32	0.418	24	NG-97
 Compound II	10	0.47	0.328	0.351	24	NG-97
 Compound II	20	0.449	0.345	0.427	24	NG-97
 Compound II	30	0.25	0.257	0.21	24	NG-97
 Compound II	80	0.176	0.174	0.18	24	NG-97
 Compound II	Control	0.917	0.917	0.991	48	NG-97
 Compound II	0.10	0.382	0.10	0.10	48	NG-97
 Compound II	3	0.1062	0.354	0.447	48	NG-97
 Compound II	10	0.711	0.349	0.466	48	NG-97
 Compound II	20	0.299	0.244	0.258	48	NG-97
 Compound II	30	0.345	0.176	0.235	48	NG-97
 Compound II	80	0.154	0.14	0.145	48	NG-97
 Compound II	Control	1.796	1.354	1.354	72	NG-97
 Compound II	0.10	0.361	0.313	0.256	72	NG-97
 Compound II	3	0.634	0.1077	0.1057	72	NG-97
 Compound II	10	0.239	0.221	0.203	72	NG-97
